Date,Year,Month,MonthName,Account,Category,Note,Type,Amount,SignedAmount
2022-02-03 10:11:00,2022.0,2.0,2022-02,CUB - online payment,Food,Brownie,Expense,50.0,-50.0
2022-02-03 10:11:00,2022.0,2.0,2022-02,CUB - online payment,Other,To lended people,Expense,300.0,-300.0
2022-01-03 19:50:00,2022.0,1.0,2022-01,CUB - online payment,Food,Dinner,Expense,78.0,-78.0
2022-01-03 18:56:00,2022.0,1.0,2022-01,CUB - online payment,Transportation,Metro,Expense,30.0,-30.0
2022-01-03 18:22:00,2022.0,1.0,2022-01,CUB - online payment,Food,Snacks,Expense,67.0,-67.0
2022-01-03 18:22:00,2022.0,1.0,2022-01,CUB - online payment,Other,From vicky,Income,100.0,100.0
2022-01-03 18:21:00,2022.0,1.0,2022-01,CUB - online payment,Other,From dad,Income,500.0,500.0
,,,,CUB - online payment,Food,Pizza,Expense,339.15,-339.15
,,,,CUB - online payment,Other,From kumara,Income,200.0,200.0
,,,,CUB - online payment,Food,Lunch,Expense,243.0,-243.0
,,,,CUB - online payment,Food,nan,Expense,25.0,-25.0
,,,,CUB - online payment,Other,From dad,Income,1500.0,1500.0
,,,,CUB - online payment,Other,To karthi,Expense,100.0,-100.0
,,,,CUB - online payment,Social Life,nan,Expense,1700.0,-1700.0
,,,,CUB - online payment,Food,Snacks,Expense,40.0,-40.0
,,,,CUB - online payment,Food,Tea lights,Expense,84.0,-84.0
,,,,CUB - online payment,Food,nan,Expense,33.0,-33.0
,,,,CUB - online payment,Household,nan,Expense,303.0,-303.0
,,,,CUB - online payment,Food,Creamstone,Expense,289.0,-289.0
,,,,CUB - online payment,Food,Tamen,Expense,324.7,-324.7
,,,,CUB - online payment,Apparel,Hoodie for gobi,Expense,399.0,-399.0
,,,,CUB - online payment,Food,Eggs,Expense,83.0,-83.0
,,,,CUB - online payment,Apparel,Earphone,Expense,399.0,-399.0
,,,,CUB - online payment,Transportation,Auto to laxmi mills,Expense,120.0,-120.0
,,,,CUB - online payment,Transportation,It better be worth it,Expense,1300.0,-1300.0
,,,,CUB - online payment,Transportation,Travel to koyambedu,Expense,138.0,-138.0
,,,,CUB - online payment,Household,Stuffs,Expense,336.0,-336.0
,,,,CUB - online payment,Transportation,Train cbe to chn,Expense,201.8,-201.8
,,,,CUB - online payment,Food,Lunch,Expense,200.0,-200.0
,,,,CUB - online payment,Food,Random stuff for drinks,Expense,111.0,-111.0
,,,,CUB - online payment,Food,Snacks,Expense,250.0,-250.0
,,,,CUB - online payment,Transportation,Bus ticket,Expense,1575.0,-1575.0
,,,,CUB - online payment,Transportation,Took from sbi,Expense,200.0,-200.0
,,,,CUB - online payment,Food,Ramen with gobi,Expense,380.0,-380.0
,,,,CUB - online payment,Transportation,Metro,Expense,60.0,-60.0
,,,,CUB - online payment,Other,To auto anna,Expense,50.0,-50.0
,,,,CUB - online payment,Transportation,To egmore,Expense,270.0,-270.0
,,,,CUB - online payment,Food,Kfc dinner,Expense,348.0,-348.0
,,,,CUB - online payment,Food,Lunch,Expense,80.0,-80.0
,,,,CUB - online payment,Food,Side dishes,Expense,165.0,-165.0
,,,,CUB - online payment,Food,Kfc,Expense,475.0,-475.0
,,,,CUB - online payment,Social Life,Games,Expense,100.0,-100.0
2022-12-02 21:20:00,2022.0,12.0,2022-12,CUB - online payment,Food,Dinner with aravind and buddies,Expense,491.0,-491.0
2022-12-02 16:04:00,2022.0,12.0,2022-12,CUB - online payment,Household,Mirror,Expense,70.0,-70.0
2022-12-02 14:48:00,2022.0,12.0,2022-12,CUB - online payment,Food,Lunch,Expense,80.0,-80.0
2022-12-02 14:47:00,2022.0,12.0,2022-12,CUB - online payment,Other,From dad,Income,10000.0,10000.0
2022-11-02 22:41:00,2022.0,11.0,2022-11,CUB - online payment,Food,Dinner with aravind,Expense,373.0,-373.0
2022-10-02 20:15:00,2022.0,10.0,2022-10,CUB - online payment,Food,Kfc dinner,Expense,641.0,-641.0
2022-08-02 10:37:00,2022.0,8.0,2022-08,CUB - online payment,Other,From dad,Income,1000.0,1000.0
2022-08-02 09:18:00,2022.0,8.0,2022-08,CUB - online payment,Household,Bean bag,Expense,2099.0,-2099.0
